05:47:24 [-] WARNING xiaopaw.config.safety: debug.test_api_token is empty or a well-known default; set XIAOPAW_TESTAPI_TOKEN to a strong secret before exposing TestAPI
05:47:24 [-] INFO  xiaopaw.config.safety: all production safety checks passed
05:47:25 [-] INFO  crewai_core.settings: Using config path: /tmp/crewai_settings.json
05:47:25 [-] INFO  xiaopaw.frontend.store: PGStore: connected to PostgreSQL
05:47:25 [-] INFO  __main__: SearchService initialized (pg_dsn=postgresql://xiaopaw:xiaopaw@localhost:5...)
05:47:25 [-] INFO  __main__: ActivityRecorder subscribed to EventBus (pg_store=enabled)
05:47:25 [-] INFO  __main__: NotificationService subscribed to EventBus (approve/reject)
05:47:25 [-] INFO  xiaopaw.skills_mgmt.registry: SkillRegistry: synced 13 skills to DB
05:47:25 [-] INFO  __main__: hook framework loaded: {'before_turn': ['[global] structured_log.before_turn_handler', '[global] langfuse_trace.before_turn_handler'], 'before_llm': ['[global] structured_log.before_llm_handler', '[global] langfuse_trace.before_llm_handler'], 'before_tool_call': ['[global] structured_log.before_tool_handler', '[global] langfuse_trace.before_tool_handler', '[global] sandbox_guard.before_tool_handler', '[global] permission_gate.before_tool_handler', '[global] cost_guard.before_tool_handler'], 'after_tool_call': ['[global] structured_log.after_tool_handler', '[global] langfuse_trace.after_tool_handler', '[global] loop_detector.after_tool_handler', '[global] retry_tracker.after_tool_handler'], 'after_turn': ['[global] structured_log.after_turn_handler', '[global] langfuse_trace.after_turn_handler', '[global] cost_guard.after_turn_handler', '[global] loop_detector.after_turn_handler'], 'task_complete': ['[global] structured_log.task_complete_handler', '[global] langfuse_trace.task_complete_handler'], 'session_end': ['[global] structured_log.session_end_handler', '[global] langfuse_trace.flush_and_close', '[global] audit_logger.session_end_handler']}
05:47:25 [-] INFO  xiaopaw.observability.metrics_server: metrics server listening on 0.0.0.0:8090
05:47:25 [-] INFO  xiaopaw.cron.service: cron service started (interval=30s)
05:47:25 [-] INFO  xiaopaw.cleanup.service: cleanup service started (run_hour_utc=3)
05:47:25 [-] INFO  __main__: market sync scheduled (interval=6.0h)
05:47:25 [-] WARNING __main__: CommunityRegistry missing background task methods, skipping community tasks
05:47:25 [-] INFO  __main__: TestAPI listening on 127.0.0.1:9090
05:47:25 [-] WARNING __main__: Multiple users found (8); skipping legacy migration to avoid misattribution
05:47:25 [-] INFO  xiaopaw.llm.channel_manager: [ChannelManager] loaded 2 channels from data/channels.json
05:47:25 [-] INFO  xiaopaw.frontend.server: frontend: serving static files from /Users/howdy/work-source/xiaopaw-v2/frontend/build
05:47:25 [-] INFO  __main__: Frontend listening on http://127.0.0.1:8080
05:47:25 [-] INFO  __main__: 玄机 started (env=dev)
05:47:25 [-] WARNING __main__: 
==================================================================
 SANDBOX UNREACHABLE at http://localhost:8030/mcp (ClientConnectorError: Cannot connect to host localhost:8030 ssl:default [Multiple exceptions: [Errno 61] Connect call failed ('::1', 8030, 0, 0), [Errno 61] Connect call failed ('127.0.0.1', 8030)])
 -> Skill execution (Sub-Crew) will be UNAVAILABLE.
 -> Reference/chat still work, but task skills (search/pdf/docx/
    memory-save/web_browse/...) cannot run.
 -> Start it with: docker compose -f sandbox-docker-compose.yaml up -d
==================================================================
05:47:28 [-] INFO  aiohttp.access: 127.0.0.1 [25/Jul/2026:13:47:28 +0800] "GET /api/frontend/experts HTTP/1.1" 401 194 "-" "curl/8.7.1"
05:47:34 [-] WARNING xiaopaw.skills_mgmt.market: MarketSync vercel fetch failed: 404, message='Not Found', url='https://raw.githubusercontent.com/vercel/skills/main/index.json'
05:47:34 [-] INFO  xiaopaw.skills_mgmt.market: MarketSync done: {'sources': {'vercel': {'ok': False, 'error': "404, message='Not Found', url='https://raw.githubusercontent.com/vercel/skills/main/index.json'"}}, 'total_upserted': 0}
05:47:42 [-] INFO  aiohttp.access: 127.0.0.1 [25/Jul/2026:13:47:42 +0800] "GET /api/frontend/sessions HTTP/1.1" 200 1265 "http://localhost:5173/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
05:47:42 [-] INFO  aiohttp.access: 127.0.0.1 [25/Jul/2026:13:47:42 +0800] "GET /api/frontend/notifications/unread-count HTTP/1.1" 200 190 "http://localhost:5173/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
05:48:12 [-] INFO  aiohttp.access: 127.0.0.1 [25/Jul/2026:13:48:12 +0800] "GET /api/frontend/sessions HTTP/1.1" 200 1265 "http://localhost:5173/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
05:48:42 [-] INFO  aiohttp.access: 127.0.0.1 [25/Jul/2026:13:48:42 +0800] "GET /api/frontend/sessions HTTP/1.1" 200 1265 "http://localhost:5173/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
05:48:42 [-] INFO  aiohttp.access: 127.0.0.1 [25/Jul/2026:13:48:42 +0800] "GET /api/frontend/notifications/unread-count HTTP/1.1" 200 190 "http://localhost:5173/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
05:49:12 [-] INFO  aiohttp.access: 127.0.0.1 [25/Jul/2026:13:49:12 +0800] "GET /api/frontend/sessions HTTP/1.1" 200 1265 "http://localhost:5173/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
05:49:42 [-] INFO  aiohttp.access: 127.0.0.1 [25/Jul/2026:13:49:42 +0800] "GET /api/frontend/sessions HTTP/1.1" 200 1265 "http://localhost:5173/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
05:49:42 [-] INFO  aiohttp.access: 127.0.0.1 [25/Jul/2026:13:49:42 +0800] "GET /api/frontend/notifications/unread-count HTTP/1.1" 200 190 "http://localhost:5173/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
05:50:05 [-] INFO  aiohttp.access: 127.0.0.1 [25/Jul/2026:13:50:05 +0800] "GET /api/frontend/sessions HTTP/1.1" 200 1265 "http://localhost:5173/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
05:50:05 [-] INFO  aiohttp.access: 127.0.0.1 [25/Jul/2026:13:50:05 +0800] "GET /api/frontend/auth/me HTTP/1.1" 200 301 "http://localhost:5173/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
05:50:05 [-] INFO  aiohttp.access: 127.0.0.1 [25/Jul/2026:13:50:05 +0800] "GET /api/frontend/auth/me HTTP/1.1" 200 301 "http://localhost:5173/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
05:50:05 [-] INFO  aiohttp.access: 127.0.0.1 [25/Jul/2026:13:50:05 +0800] "GET /api/frontend/notifications/unread-count HTTP/1.1" 200 190 "http://localhost:5173/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
05:50:05 [-] INFO  aiohttp.access: 127.0.0.1 [25/Jul/2026:13:50:05 +0800] "GET /api/frontend/experts HTTP/1.1" 200 16440 "http://localhost:5173/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
